doi	returned_doi	title	type	publisher	issued_year	status	source_file_count	source_files	error
10.1109/tau.1967.1161901	10.1109/tau.1967.1161901	The use of fast Fourier transform for the estimation of power spectra: A method based on time averaging over short, modified periodograms	journal-article	Institute of Electrical and Electronics Engineers (IEEE)	1967	pass	2	docs/evaluation/direct_event_baseline_protocol_v0.1.md;docs/evaluation/stage_first_baseline_protocol_v0.1.md	none
10.1109/tbme.2022.3147187	10.1109/tbme.2022.3147187	SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification	journal-article	Institute of Electrical and Electronics Engineers (IEEE)	2022	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1109/tnsre.2019.2896659	10.1109/tnsre.2019.2896659	SeqSleepNet: End-to-End Hierarchical Recurrent Neural Network for Sequence-to-Sequence Automatic Sleep Staging	journal-article	Institute of Electrical and Electronics Engineers (IEEE)	2019	pass	3	docs/evaluation/stage_first_baseline_protocol_v0.1.md;docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1109/tnsre.2020.3011181	10.1109/tnsre.2020.3011181	Dreem Open Datasets: Multi-Scored Sleep Datasets to Compare Human and Automated Sleep Staging	journal-article	Institute of Electrical and Electronics Engineers (IEEE)	2020	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.1111/j.1365-2869.2008.00700.x	10.1111/j.1365-2869.2008.00700.x	Interrater reliability for sleep scoring according to the Rechtschaffen &amp; Kales and the new AASM standard	journal-article	Wiley	2009	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;Proposal.md	none
10.1111/j.1479-8425.2011.00503.x	10.1111/j.1479-8425.2011.00503.x	Wake-REM sleep transitions for measuring REM sleep disturbance: Comparison between narcolepsy, idiopathic hypersomnia and healthy controls	journal-article	Springer Science and Business Media LLC	2011	pass	3	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md;Proposal.md	none
10.1111/jsr.12169	10.1111/jsr.12169	Montreal Archive of Sleep Studies: an open‐access resource for instrument benchmarking and exploratory research	journal-article	Wiley	2014	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.13026/c2vc79	10.13026/c2vc79	CAP Sleep Database	dataset	physionet.org	2001	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.1371/journal.pone.0011356	10.1371/journal.pone.0011356	Obstructive Sleep Apnea Alters Sleep Stage Transition Dynamics	journal-article	Public Library of Science (PLoS)	2010	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.1371/journal.pone.0256111	10.1371/journal.pone.0256111	Inter-database validation of a deep learning approach for automatic sleep scoring	journal-article	Public Library of Science (PLoS)	2021	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
10.18112/openneuro.ds005555.v1.1.1	10.18112/openneuro.ds005555.v1.1.1	The Bitbrain Open Access Sleep (BOAS) dataset	dataset	OpenNeuro	2025	pass	6	docs/data/boas_dataset_manifest.md;docs/evaluation/direct_event_baseline_protocol_v0.1.md;docs/evaluation/stage_first_baseline_protocol_v0.1.md;docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md;Proposal.md	none
10.25822/ghy8-ks59	10.25822/ghy8-ks59	Sleep Heart Health Study (SHHS)	dataset	National Sleep Research Resource	2014	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.3389/fnins.2013.00267	10.3389/fnins.2013.00267	MEG and EEG data analysis with MNE-Python	journal-article	Frontiers Media SA	2013	pass	1	docs/preprocessing/minimal_wearable_eeg_preprocessing_spec_v0.1.md	none
10.5281/zenodo.15900394	10.5281/zenodo.15900394	Dreem Open Datasets	article	Zenodo	2025	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/02_dataset_search.md	none
10.5664/jcsm.10416	10.5664/jcsm.10416	Validation of a wearable forehead sleep recorder against polysomnography in sleep staging and desaturation events in a clinical sample	journal-article	Springer Science and Business Media LLC	2023	pass	3	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md;Proposal.md	none
10.5664/jcsm.2350	10.5664/jcsm.2350	The American Academy of Sleep Medicine Inter-scorer Reliability Program: Sleep Stage Scoring	journal-article	Springer Science and Business Media LLC	2013	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;Proposal.md	none
10.5664/jcsm.9538	10.5664/jcsm.9538	Interrater reliability of sleep stage scoring: a meta-analysis	journal-article	Springer Science and Business Media LLC	2022	pass	1	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md	none
10.5665/sleep.2880	10.5665/sleep.2880	Sleep Transitions in Hypocretin-Deficient Narcolepsy	journal-article	Oxford University Press (OUP)	2013	pass	2	docs/preliminary/2026-06-01_to_2026-06-21/01_literature_review.md;docs/preliminary/2026-06-01_to_2026-06-21/03_technological_knowledge_assessment.md	none
